id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4504211599334459,J1LyTDajN,3768664027,晓航股海,屌丝复盘2020.5.13周三您的关注是对我最大的支持一、消费内需1、医药医疗：片仔癀、长春高新、恒瑞医药、泰格医药、凯莱英、我武生物、药明康德、迈瑞医疗、药房（大参林、益丰药房、老百姓）、司太立、凯利泰、欧普康视、山东药玻、三诺生物、康德莱、大博医疗等等；2、白酒：贵州茅台、五粮液、山西汾酒、今世缘、泸州老窖、舍得酒业、古井贡酒等；3、奶制品：光明乳业、妙可蓝多、伊利股份、新乳业等；4、家电：新宝股份、老板电器、格力电器、小熊电器、三花智控、九阳股份、金莱特等；5、调味品：天味食品、海天味业、恒顺醋业、千禾味业、中炬高新等；6、食品加工：洽洽食品、良品铺子、三只松鼠、三全食品、双汇发展、涪陵榨菜、金字火腿、克明面业、煌上煌、龙大肉食、盐津铺子、西麦食品、安琪酵母、安井食品、桃李面包、来伊份、加加食品（暴雷）等；7、化妆品：御家汇、珀莱雅、上海家化等；8、家居：质邦家居、江山欧派、金牌橱柜、喜临门、大亚圣象、顾家家居、欧派家居、帝欧家居、索菲亚等；9、汽车：中国重汽、长安汽车、广汽集团、上汽集团、长城汽车等。下面附上笔者的消费内需自选股，希望对大家有用。资金选择消费内需方向的深层逻辑反复赘述，一切从疫情当下，经济刺激的实际情况出发，具体参考屌丝复盘2020.5.8周五。昨日复盘预期今天分化，等低吸机会，涨了要卖。今日盘面表现比预期强势的多，细分行业（1-7，主流）今天全面爆发，有点主升浪高潮的意思。笔者反复重申看好消费内需方向，但操作上，仍不建议追着买，消费内需方向不同于一般的主题投资炒作，主要是资金抱团的趋势打法，只要低吸大概率会有肉。但追着买，很容易站山岗。此方向重点阐述相关逻辑，个股数量极其庞大，笔者不做单独推荐。二、科技（1）半导体芯片：中微公司、晶盛机电、中环股份、紫光国微、圣邦股份、北方华创、长电科技、华天科技、通富微电、兆易创新、卓盛微（2）光刻胶：同益股份（反包未封板）、晶瑞股份、江化微等（3）5G：中兴通讯、新易盛、中际旭创、光迅科技等（4）消费电子：漫步者、立讯精密、欧菲光、信维通信等（5）国产软件、服务器、存储：华胜天成、中国软件、浪潮信息、紫光股份、紫光国微、中科曙光等今日多条分支线均有所表现，第一，同益股份有资金做反包，带动光刻胶反弹一波；第二，中环股份等半导体上游材料，带了芯片走了一波；第三，圣邦股份、紫光国微等带了一波。每一个龙头带动，都有不少的跟风盘，板块弹性很好，但是三波带动，资金都没有打出足够的高度，信心不足，估计也是忌惮消费内需资金分流的问题。晚上中芯国际公布一季度业绩，收入9.05亿美元，同比增长35.3%，营收创季度新高，对板块有一定的提振作用，明日继续重点关注科技方向。三、疫情线相关个股：疫苗：未名医药（3板）检测试剂（大跌）：明德生物、迈克生物、达安基因、昌红科技、华大基因等疫苗瓶：正川股份（4板，庄股）口罩：泰达股份、奥美医疗、振德医疗、南卫股份未名医药今日3连板，创历史新高，已经4波主升浪，新冠疫苗想象空间巨大，但最受益的是哪个，现在谁也不知道。妖股，靠信仰生存，笔者已经理解不了，当个市场情绪指标对待。检测试剂昨日大涨今日大跌，口罩方面昨日南卫股份，今日切换到泰达股份，资金高位接力意愿很差。至于正川股份，典型的一庄股，去年11月崩盘记忆犹新。疫情线有多条分支，多数叠加医疗医药线（内需消费），如果非要做个区分，可以根据资金的打法不同做选择，消费内需那条线更多的是抱团走趋势，疫情这边更多的是游资手法，频繁大涨大跌走势。相比之下，笔者更愿意选择大资金抱团走趋势的医疗个股。四、军工相关个股：轴研科技（6连板）、江龙船艇、中航沈飞、航空发动机三兄弟等。相关逻辑：军费+业绩+边缘政治深层逻辑参考屌丝复盘2020.5.8周五板块前面表现多日，到了该调整的时候，轴研科技6连板，走个股行情，延迟了板块的调整，后期继续等待低吸机会，不要忘记，近期市场是轮动的行情，消费内需如果调整，出来的资金总需要去处。重点等待华伍股份、中航沈飞、中兵红箭、航空发动机三兄弟的低吸机会。五、网红经济与农业电商网红经济相关个股：省广集团（1+1+2板）、梦洁股份（3板）、御家汇（2板趋势叠加消费内需）、供销大集（1板叠加农业电商）农业电商相关个股：供销大集（1板）、金健米业、新农开发（-9.53%）相关逻辑：扶贫攻坚+蝗虫减产+疫情粮食危机+大哥支持农村直播带货之所以两个板块放一块分析，其实本质上都是网红经济，农业电商本身有深层次的逻辑在里面，网红经济板块有点各自为战的意思，联动性不是很强。农业电商方面，金健米业早盘最高3个多点，未摸板，低于预期，供销大集卡位，也没带起人气，板块短期调整概率偏大，调后还是值得重点关注。大哥主张农业直播带货，估计大概率会进入两会议程。六、新基建——特高压；老基建（1）特高压相关个股：保变电气、平高电气、汉缆股份、神马电力（庄股）、国电南自等盘中有资金尝试打出人气，奈何消费内需方向对资金虹吸效应太明显，老妖保变电气封板，前期人气龙头汉缆股份、国电南自、中国西电均冲高回落，伤了板块人气。（2）老基建相关个股：建筑装饰：建研院、亚夏股份、宁波建工等高铁：新筑股份、晋亿实业等盘中资金尝试切换，跟新基建特高压一个路子，只是操作上更加猥琐，力度大大弱于特高压。在没有切换成功的情况下，反而成了好事，明天抛压上特高压会更重一些。短线性价比老基建更占优。继续关注老基建高铁方向，注意晋亿实业的低吸。七、次新股华昌达强势7连板，成了独苗，还是那句话，当成盘面人气指标股看就可以。综合，股票池：纯内需消费+新基建、老基建+军工。操作上，缺少增量资金，板块轮动，低吸必胜，追高必死。明日重点关注科技方向。免责声明：本订阅号发布的文章仅代表本订阅号个人观点。不对任何人构成个股推荐和买卖建议。本订阅号所载资料的准确性、可靠性、时效性、完整性不作任何明示或暗示的保证。请结合自身风险承受能力进行股市投资。股市有风险，入市需谨慎。,,,,,2,0,1,2020-05-13 19:59,360安全浏览器,,,
4461285682997323,IpIjSczJV,1110649595,理财你莫愁,===公告精选===博迈科（603727）：全资子公司签订1.31亿美元项目合同，营收为3.97亿元。中联重科（000157）：预计2019年实现净利润43-45亿元，同比增长逾1倍。新疆天业（600075）：重组事项获证监会审核通过，公司股票1月16日复牌。云天化（600096）：子公司云峰化工增资引入央企扶贫基金，增资后，持有25.12%股权。新文化（300336）：与美腕公司及旗下艺人李佳琦战略合作。比亚迪（002594）：发行不超100亿元公司债券获证监会核准。瀚叶股份（600226）：与青岛易邦签订战略合作协议。航天晨光（600501）：中标军方某部后勤保障装备一批，共计15.18亿元，超过营收的50%。露笑科技（002617）：越南项目投产，预计能达到1200万台年生产能力。科力远（600478）：拟新建第四条电池极板生产线，总投资约4.02亿元，年产能规划约12万台套。万里扬（002434）：与博世变速器技术有限公司签署《战略合作协议》。中环股份（002129）：拟与关联方设合资公司，从事太阳能硅片开发和制造。科新机电（300092）：预计2019年净利润同比上涨542%-571%。仙坛股份（002746）：2019年净利预增136%-161%。精工钢构（600496）：2019年净利预增109%-131%。上海临港（600848）：2019年净利预增逾2倍。天喻信息（300205）：与华为云建立了合作关系，共同开拓区域智慧教育市场。吉宏股份（002803）：字节跳动是公司的客户，同时公司也是字节跳动核心代理商。,,,,,0,0,0,2020-01-16 09:07,微博 weibo.com,,,
4461251386023889,IpHqyph5v,6260483609,L守法公民,➦博迈科（603727）全资子公司签订1.31亿美元项目合同。博迈科2018年营收为3.97亿元。➦中联重科（000157）预计2019年实现净利润43-45亿元，同比增长逾1倍。➦新疆天业（600075）重组事项获证监会审核通过。公司股票1月16日复牌。➦云天化（600096）子公司云峰化工增资引入央企扶贫基金，增资后，央企扶贫基金持有云峰化工25.12%股权。➦新文化（300336）与美腕公司及旗下艺人李佳琦战略合作。➦比亚迪（002594）发行不超100亿元公司债券获证监会核准。➦瀚叶股份（600226）与青岛易邦签订战略合作协议，双方共同探讨犬用狂犬病疫苗与犬用流感疫苗产品的销售方式及推广策略。➦航天晨光（600501）中标15.18亿元重大合同➦科新机电（300092）预计2019年实现净利润4388万元至4590万元，同比增长542%至571%。➦中国天楹（000035）2019年预盈6.9亿元至7.3亿元，同比增长219%至237%。➦蓝色光标（300058）2019年预盈7亿元至7.5亿元，同比增长79.97%至92.82%。➦浙江众成（002522）2019年预盈6106万元至7902万元，同比增长70%至120%。➦喜临门（603008）预计2019年盈利3.8亿元到4.5亿元，同比将实现扭亏为盈。➦宏达股份（600331）预计2019年盈利6500万元到8500万元，同比将实现扭亏为盈。➦银河电子（002519）预计2019年盈利1.6亿元至1.76亿元，上年同期亏损11.66亿元。➦科力远（600478）拟新建第四条电池极板生产线，总投资规模约4.02亿元，年产能规划约12万台套，预计于2021年3月正式投入使用。➦万里扬（002434）与博世变速器技术有限公司签署《战略合作协议》，万里扬和博世希望合作开发一种用于电动和混合动力汽车的无级变速器，并且共同推动CVT在新能源汽车电驱化上的应用和发展。➦中环股份（002129）拟与关联方设合资公司，从事太阳能硅片开发和制造。➦仙坛股份（002746）2019年净利预增136%-161%。➦精工钢构（600496）2019年净利预增109%-131%。➦上海临港（600848）2019年净利预增逾2倍。➦天喻信息（300205）在互动平台表示，公司在区校一体化智慧教育解决方案方面与华为云建立了合作关系，共同开拓区域智慧教育市场。此外，公司与华为在基于eSIM产品的验证检测方面有业务合作。➦吉宏股份（002803）在互动平台表示，字节跳动是公司的客户，同时公司也是字节跳动核心代理商。,,,,,0,0,0,2020-01-16 06:51,,,,
4461125699196708,IpE9PCAu0,1965622814,大班aban,个股好消息➦博迈科（603727）全资子公司签订1.31亿美元项目合同。博迈科2018年营收为3.97亿元。➦中联重科（000157）预计2019年实现净利润43-45亿元，同比增长逾1倍。➦新疆天业（600075）重组事项获证监会审核通过。公司股票1月16日复牌。➦云天化（600096）子公司云峰化工增资引入央企扶贫基金，增资后，央企扶贫基金持有云峰化工25.12%股权。➦新文化（300336）与美腕公司及旗下艺人李佳琦战略合作。➦比亚迪（002594）发行不超100亿元公司债券获证监会核准。➦瀚叶股份（600226）与青岛易邦签订战略合作协议，双方共同探讨犬用狂犬病疫苗与犬用流感疫苗产品的销售方式及推广策略。➦航天晨光（600501）中标15.18亿元重大合同➦科新机电（300092）预计2019年实现净利润4388万元至4590万元，同比增长542%至571%。➦中国天楹（000035）2019年预盈6.9亿元至7.3亿元，同比增长219%至237%。➦蓝色光标（300058）2019年预盈7亿元至7.5亿元，同比增长79.97%至92.82%。➦浙江众成（002522）2019年预盈6106万元至7902万元，同比增长70%至120%。➦喜临门（603008）预计2019年盈利3.8亿元到4.5亿元，同比将实现扭亏为盈。➦宏达股份（600331）预计2019年盈利6500万元到8500万元，同比将实现扭亏为盈。➦银河电子（002519）预计2019年盈利1.6亿元至1.76亿元，上年同期亏损11.66亿元。➦科力远（600478）拟新建第四条电池极板生产线，总投资规模约4.02亿元，年产能规划约12万台套，预计于2021年3月正式投入使用。➦万里扬（002434）与博世变速器技术有限公司签署《战略合作协议》，万里扬和博世希望合作开发一种用于电动和混合动力汽车的无级变速器，并且共同推动CVT在新能源汽车电驱化上的应用和发展。➦中环股份（002129）拟与关联方设合资公司，从事太阳能硅片开发和制造。➦仙坛股份（002746）2019年净利预增136%-161%。➦精工钢构（600496）2019年净利预增109%-131%。➦上海临港（600848）2019年净利预增逾2倍。➦天喻信息（300205）在互动平台表示，公司在区校一体化智慧教育解决方案方面与华为云建立了合作关系，共同开拓区域智慧教育市场。此外，公司与华为在基于eSIM产品的验证检测方面有业务合作。➦吉宏股份（002803）在互动平台表示，字节跳动是公司的客户，同时公司也是字节跳动核心代理商。,,,,,0,0,0,2020-01-15 22:31,微博 weibo.com,,,
4461124356940060,IpE7Ft7qs,6366524150,掌涨股讯,1月15日公司动态精选（公告+互动+调研）：中联重科（000157）-1.05%预计2019年实现净利润43-45亿元，同比增长逾1倍。新疆天业（600075）0.00%重组事项获证监会审核通过。公司股票1月16日复牌。比亚迪（002594）-0.24%发行不超100亿元公司债券获证监会核准。中环股份（002129）+5.97%拟与关联方设合资公司，从事太阳能硅片开发和制造。科新机电（300092）-0.26%预计2019年净利润同比上涨542%-571%。仙坛股份（002746）-0.37%2019年净利预增136%-161%。精工钢构（600496）+0.63%2019年净利预增109%-131%。上海临港（600848）-1.43%2019年净利预增逾2倍。航天晨光（600501）-2.35%中标军方某部后勤保障装备一批，合同金额共计15.18亿元，超过公司2018年营业总收入的50%。瀚叶股份（600226）+0.95%与青岛易邦签订战略合作协议，双方共同探讨犬用狂犬病疫苗与犬用流感疫苗产品的销售方式及推广策略。博迈科（603727）+0.19%全资子公司签订1.31亿美元项目合同。博迈科2018年营收为3.97亿元。云天化（600096）-2.13%子公司云峰化工增资引入央企扶贫基金，增资后，央企扶贫基金持有云峰化工25.12%股权。天喻信息（300205）+3.69%在互动平台表示，公司在区校一体化智慧教育解决方案方面与华为云建立了合作关系，共同开拓区域智慧教育市场。此外，公司与华为在基于eSIM产品的验证检测方面有业务合作。吉宏股份（002803）+0.28%在互动平台表示，字节跳动是公司的客户，同时公司也是字节跳动核心代理商。科力远（600478）+9.98%拟新建第四条电池极板生产线，总投资规模约4.02亿元，年产能规划约12万台套，预计于2021年3月正式投入使用。露笑科技（002617）-1.69%旗下越南露通机电有限公司已完成项目工程建设、设备安装调试等前期工作，1月15日投产运行。越南露通机电主要产品有串激电机、永磁直流电机、无刷电机等，预计能达到1200万台年生产能力。万里扬（002434）+0.58%与博世变速器技术有限公司签署《战略合作协议》，万里扬和博世希望合作开发一种用于电动和混合动力汽车的无级变速器，并且共同推动CVT在新能源汽车电驱化上的应用和发展。新文化（300336）-1.13%公告，公司与美腕（上海）网络科技有限公司签订《战略合作框架协议》，双方积极配合，在全国范围内根据美腕旗下艺人李佳琦和公司优势资源，为美腕艺人提供客户及整合营销方案，提升美腕艺人线下曝光度及预算收入。另外，公司则通过与美腕艺人李佳琦的战略合作，增强其与客户的连接度和在线上媒体渠道的推广宣传曝光，形成“移动互联网媒体+传统媒体″全媒体整合营销方案。,,,,,2,0,1,2020-01-15 22:26,微博 weibo.com,,,
4244303964236220,GiAy0hM28,1639634435,股票,【通威股份：与中环股份签订重大销售与采购框架合同】通威股份27日晚公告，公司拟于28日与中环股份签订框架合作协议，合同约定2018-2021年，公司向中环股份销售多晶硅约7万吨，向中环股份销售太阳能电池约1800MW；公司向中环股份采购硅片约24.1亿片。9分钟前【大量还钱的日子逼近中国房企海外紧急发债借新还旧】Wind金融数据显示，2018年下半年，房地产海外融资债券到期规模在564.75亿元水平，2019年到期规模增长到1436.95亿元。而截至2018年5月22日，年初以来境内房地产企业已公告计划发行的海外债券达61只，发行总额超过240亿美元，比去年同期大幅度上升105%左右。随着中资房地产企业境外发债的放量，监管机构可能会控制节奏和规模，保障债务的安全性。（中国房地产报）11分钟前据悉，OPEC+委员会认为原油供应低于五年均值。（彭博）11分钟前【马云：慈善是给别人东西而公益是给自己益处】今日，在2018年中国国际大数据产业博览会上，马云出席“精准扶贫”高端对话环节并发表讲话。他表示公益和慈善的区别就是，慈善是给别人东西，而公益是给自己益处，只有让自己越好，别人才会慢慢好起来，让自己改变。慈善也许改变了别人，而公益最大的改变的是自己。（央视财经）19分钟前【海通证券姜超：美国机构正在加大投资中国的力度】海通宏观姜超发文称，美国机构正在加大投资中国的力度，背景是中国资本市场开放力度的加大。一方面，由于MSCI今年把A股加入全球新兴市场指数，因此许多以前投资中概股和港股的机构，目前正在进入A股市场。另一方面，由于中国金融行业的开放加快，不少外资的资产管理公司已经在中国设立了独资的子公司，例如Blackrock上海公司的人数已经超过了其美国总部中国业务的人数。22分钟前【三亚外卖餐饮店营业地址造假？美团和饿了么被约谈】记者27日从三亚市委宣传部获悉，一网友近日发帖反映多家外卖餐饮店疑存在营业地址造假等问题，三亚市旅游整治办迅速组织相关部门调查核实，约谈美团和饿了么两大外卖平台。目前，两家外卖餐饮店被外卖平台下架，两大外卖平台也将受到行政处罚。（中新网）30分钟前【深圳：院士团队每年福利2000万得诺贝尔奖后两亿】深圳市环境保护宣传教育信息中心主任孙敬锋于#上海论坛#称，深圳投资了12亿做环境技术孵化，院士团队每年福利2000万，得诺贝尔奖后两亿。入驻孵化器的科研骨干每月补两万。对比北京上海，一个博士在深圳每年可额外获得100万。O网页链接40分钟前【马云：脱贫是给人以希望而不仅仅是给人以钱财】今日，在2018年中国国际大数据产业博览会上，马云出席“精准扶贫”高端对话环节并发表讲话。他表示，贵州贵阳大力发展高科技，大力发展数据产业，这实际上保护了绿水青山，同时给我们贫困地区看到了无限的希望。相信贵州未来是中国最有意义、最富有的地方之一，因为他们懂得未来，他们有畅想，他们愿意去努力，他们敢于去挑战别人不敢做的事情，这也是我们脱贫和扶贫最大的希望之在。脱贫是给人以希望，而不仅仅给人以钱财。,,,,上海论坛,0,0,0,2018-05-27 14:59,iPhone X,,,
4240003170652750,GgMFf2JOe,3779225320,Alwaleed美股,从起初的萌芽到如今的茁壮成长，近20年的起起伏伏，我国光伏产业经历了巨大的变化。以发展重心为例，早年我国光伏产业发展的重心在西北太阳能辐射资源好的地区。到2015年，西北地区弃光限电严重，光伏产业发展重心开始向中东部转移；与此同时，随着市场需求的增长，光伏产业的发展模式开始趋于多元化，“渔光互补”、“农光互补”、“光伏扶贫”等发展模式的兴起使得光伏产业生机勃勃；此外，在政策、市场等多重因素的影响之下，地面电站的装机开始受到重重限制，分布式成为了光伏产业的重点。继2017年史无前例的19GW之后，今年一季度我国分布式光伏新增装机达到7.69GW，占总新增装机的79.6%。毫无疑问，现在的光伏行业已经是分布式的天下。虽然我国分布式光伏在近两年得到了连续的爆发，但事实上分布式光伏的发展刚刚起步，仍有较大的市场空间。随着国家政策向分布式倾斜，2018年国内分布式装机有望达到历史新高。阳光电源sz300274中环股份sz002129正泰电器sh601877,,,,,0,0,2,2018-05-15 18:09,iPhone 8 Plus,,,
4199984070906776,FFX2D3NTq,2028006072,继功先生,评：相关个股，如：隆基股份、阳光电源、通威股份、中环股份云财经讯，中国光伏行业协会秘书长王勃华表示，2018年光伏行业的需求在30至45GW之间，分布电站热度空前高涨，户用和扶贫电站市场值得期待。（经参）,,,,,2,0,8,2018-01-25 07:48,微博 weibo.com,,,
4191863281758118,FCxMA7nmK,1770879771,正版阿猪,中环股份的热点概念：光伏、半导体、集成电路、精准扶贫，还有……,,,,,0,0,0,2018-01-02 21:59,HUAWEI nova手机,,,
4174853873446832,Fvpi3esG4,5645756008,价值投资日志,【再论光伏行业：厚积薄发，多点驱动，热情继续—电气设备】电站投资热情高涨，光伏产品出货量大增“630”之后光伏下游需求并没有如行业预期遇冷，反而装机热情高涨，国内前三季度装机43GW，超过2016年全年装机量，其中分布式约15GW，地面电站28GW，全球装机预计将达到90-100GW。国内光伏制造业产能，占据全球的一大半。全球下游市场旺盛需求推动，产业链各环节产能利用率显著提升，产量大幅增加。前三季度多晶硅料、硅片、电池片、组件分别产出17万吨、62GW、51GW、53GW，对应增长17%、44%、50%、43%。国内领跑者、分布式、光伏扶贫驱动，下游装机持续增长支撑“630”标杆电价下调之后国内需求的是领跑者、分布式和扶贫。能源局下发了2017-2020年四年的建设指标，其中每年分配8GW领跑者指标，这是继大同1GW、2016年5.5GW之后领跑者继续加码，未来四年将支撑大型地面电站装机，引领行业新技术、新标准。政策倾斜带动分布式爆发，下半年包括户用光伏在内的分布式开启高速增长模式，前三季度装机已经超过去年全年三倍，未来隔墙售电等配套政策出台，分布式在市场力量驱动下打开更大空间。行业盈利分化，硅料、单晶硅片结构性盈利能力强下游需求高涨带动光伏产品产量大增，硅片、电池、组件产出分别大增44%、50%、43%，而多晶硅料由于产能释放速度相对较慢，且受检修、环保督查、进口限制等因素影响，产量弹性较小，增长率慢于中下游环节。这导致上半年硅料价格一路上扬，硅料厂商毛利率水平继续提升。第二个值得关注的是硅片环节。单多晶是在硅片环节区分，由于单晶PERC+金刚线切割，实现成本下降和效率的提升，隆基目前硅片非硅成本已经降到1.5-1.6元/片，隆基乐叶单晶PERC电池转换率最高水平已经达到23.26%。多晶PERC效率提升小于单晶提升幅度，且多晶使用金刚线切割存在表面光反射问题，需要叠加黑硅技术。因此，目前单晶PERC+金刚线替代优势非常明显，且毛利率水平高于多晶，短期内替代趋势明确。投资建议：平价上网是光伏行业打破指标、补贴天花板，突破更大市场空间的根本，上游制造环节、下游投资运维都在通过降本增效等方式向平价上网努力。短期内需求大增推动弹性较大的硅料环节毛利率提升；中长期来看，拥有成本优势的企业抓住时间窗口期扩产能，推动行业向寡头垄断的格局靠拢。硅片环节单多晶开始区分，单晶金刚线切割+PERC成本和效率优势显著，正在快速替代多晶份额。推荐通威股份、隆基股份，建议关注保利协鑫、大全新能源、中环股份。通威股份sh600438,,,,,11,5,12,2017-11-16 23:29,iPhone X,,,
4162313801837388,Fq9487HZi,2374078561,短线风云-李姐,周五早间市场信息刘士余强调资本市场建设四个“牢牢坚持”，牢牢坚持防范风险的底线，保护中小投资者合法权益。昨夜美股收低，道指下跌0.14%，纳指下跌0.18%，标普下跌0.17%，欧洲主要国家股市涨跌互现。纽约原油期货下跌70美分，跌幅为1.4%，收于每桶50.6美元；纽约黄金期货上涨7.6美元，涨幅为0.6%，收于每盎司1296.5美元。美国宣布退出联合国教科文组织；戴尔拟未来三年10亿美元投资物联网研发；消息人士称中企看上德国工业企业爱孚迪。市场信息：刘士余强调保护投资者合法权益，牢牢坚持防范风险的底线；京华激光732607、阿科力732722、集泰股份002909新股发行申购日；证券法草案二审稿拟增投资者保护专章；深交所表示将不断研究创新监管和服务举措，提高公司质量；经济参考报头版评论称违规减持频频发生，股票配资死灰复燃，A股源头性风险需及时处置；证券时报文章称去杠杆和稳增长并非鱼和熊掌不可兼得；银监会将严查个人消费贷款流入房地产市场；国资委表示多数央企负债率下降，将加大市场化债转股试点力度；国土部发文支持光伏扶贫、农光用地，光伏复合项目获得更多发展空间；严打住宅用地炒作囤积，国土部对71个城市开展检查；20余城租赁法规草案正抓紧起草；上海将推租赁住房整体规划土地管理政策；农业部大力推进农机装备发展；双十一期间快递量预计超10亿件，将再创世界记录；北京市足球改革发展总体方案印发；深圳已实现专营公交100%纯电动化；中国动力电池出货量全球第一；我国首套建筑渣土多功能3D打印系统发布；中国石墨烯改性纤维及应用开发产业发展联盟成立；中国首家机器人学院在佛山启动；近期山西七大煤企联手降价，煤炭库存创新高；中外团队开发出微创血检技术可高效诊断肝癌；360完成雄安新区子公司注册；阿里发布AliGenie语音开放平台（涉漫步者、启明星辰等）；华为下周一发布全球首款AI手机（涉中科创达、同兴达等）。个股信息，利好：供销大集、坚瑞沃能、岳阳林纸、新世界、冀中能源、远兴能源、中国武夷、焦作万方、岭南控股、渝开发、朗玛信息、金卡智能、光韵达、深天地A、滨化股份、建新股份、西部矿业、东旭蓝天、华灿光电、新华制药、岱勒新材、中国重汽、金洲管道、河钢股份、云铝股份、金冠电气、创业软件、拓斯达、博世科、维宏股份、爱乐达、茂化实华、信维通信、高升控股、友迅达、新坐标、维宏股份、金路集团、金银河三季报大幅预增；云天化、兰州黄河、美达股份、广晟有色、常山股份、沙河股份、长航凤凰、*ST中基、*ST东海三季报扭亏为盈；三花智控成为戴姆勒供货商；潞安环能股东拟增持。利空：中原特钢年报预亏；一汽夏利、南风化工、东方钽业、石化机械、吉电股份、卫士通、宇顺电子、科蓝软件、泰合健康、广东甘化、朗新科技、丰乐种业、晓程科技、*ST烯碳三季报预亏；津膜科技、红宇新材、盛运环保、太极集团、数码科技、昌红科技、中能电气、东安动力、艾比森、中光防雷、吴通控股、英飞特、金利华电、聚隆科技、东方通、三环集团、天孚通信、幸福蓝海三季报预降；常山药业、凤形股份股东减持；万马股份、宏盛股份、依顿电子、楚江新材股东拟减持。其它：昆百大A、康尼机电、南洋科技并购重组获批；家化集团拟要约收购上海家化20%股份；安信信托三季度获证金增持；鞍钢股份6.5亿股将无偿划转给中石油集团；中环股份、晶盛机电在无锡建设大硅片项目，总投资30亿美元；文化长城拟15.75亿收购翡翠教育；深圳能源拟2.32亿美元美国收购太阳能电站；陆家嘴逾13亿挂牌转让渣打银行大厦物业；东易日盛拟3亿收购欣邑东方60%股权；迅游科技1亿收购逸动无限18%股权，完善游戏业务布局；正平股份2800万控股隆地电力；青岛啤酒二股东朝日集团拟转让所持全部股份；天康生物股东中新建招商拟协议转让股份；中能电气与贵州黔能、银隆股份设立新能源公司；日海通讯拟与美国艾拉合资，推进“云+端”物联网战略；海马汽车与小鹏汽车合作整车产品下线；成飞集成与海军工程大学战略合作；万科与成都市签署战略合作，拟投2000亿开展产业新城建设；招商蛇口与优客工场战略合作，探索共享办公等创新业务；三川智慧10万台NB-IoT智能水表商用上线；四川长虹推出全球首个人工智能电视技术系统；青岛海尔入选高盛“新漂亮50”；上海家化、昆百大A、康尼机电、南洋科技、文化长城复牌。限售股解禁：新乡化纤、乐山电力、梦百合、恒星科技、智光电气、中电鑫龙、乐金健康、炬华科技、好想你、电光科技。昨日两市震荡，二八走势一致，盘面活跃点又发生很大变化，5G股再度走强，军工、钢铁等活跃，之前活跃的酒类股转跌，跌幅榜上一批之前的强势股，板块个股波动快速，参与难度很大，维稳行情更多的是指数的维稳，个股分歧大，投资者只能控制仓位轻大盘重个股，短线操作为主，不要激进。,,,,,0,0,0,2017-10-13 09:00,360安全浏览器,,,
4139521232625240,FgA7Vb0WA,6135154366,京讯网安徽,【京讯视点：“6·30定律”被打破超6成光伏企业中报预喜】进入8月，光伏设备行业上市公司纷纷发布上半年业绩预告，其中超6成企业业绩预喜，多家公司净利润增长预计近1倍。与往年相比，今年光伏企业的“6.30定律”被打破，需求增长带动多晶硅等产品价格上涨，对中上游企业影响积极。行业人士分析认为，领跑者计划、扶贫项目的推进、分布式光伏市场的大幅增长将成为支撑光伏产业发展的三大有利因素，下半年光伏市场应该会保持在合理的水平，不会出现去年的断崖式下跌。申万光伏设备行业中有20家相关企业，15家企业发布了业绩预测，其中10家预计上半年净利润为正。中利集团(002309)预计中期业绩大幅扭亏，净利润预计在3387万元～5081万之间，增幅达到200%。珈伟股份(300317)的业绩增长幅度也预计在75.82%～104.44%之间，为2.1亿元～2.5亿元。此外，中来股份(300393)、晶盛机电(300316)等业绩增长幅度在70%～100%之间，另有太阳能、拓日新能、中环股份等多家公司业绩预喜，并保持不错的增长速度。【京讯视点】1.每年的6月30日是国内普通光伏电站享受上年优惠电价的并网截止时间，是光伏产业的分水岭。企业纷纷赶在并网之前抢装光伏电站，带动了整个产业链，并对公司业绩产生体现。这也是今年上半年中报预喜超6成的原因所在。2.但是，自今年4月以来，国内光伏产品的售价就一直呈现上涨趋势，国内多晶硅价格也上涨。另外，领跑者计划和一些扶贫项目推迟到今年9月30日并网，再加上国家能源局正式下发《可再生能源发展“十三五”规划实施的指导意见》，京讯研究员认为，下半年光伏产业将维持稳定。3.我国的光伏产业是我国可再生能源发展战略的重要组成部分，近年来在国家的政策支持下快速发展，规模逐渐增大。同时今年我国光伏地面电站和分布式电站的“一减一增”，也意味着光伏产业结构的不断调整优化，更加注重对质量、效益的追求。京讯研究员认为，这将为我国未来的光伏发电打下良好的基础。4.京讯研究员认为，由于多晶硅厂商对光伏产业预判淡季，多家安排检修停产，导致多晶硅市场供给短缺，而随着光伏产业发展需求将支撑多晶硅的价格上涨，另外光伏设备企业也将继续发力。【相关上市公司】林洋能源（601222）、隆基股份（601012）、通威股份（600438）、清源股份（603628）O网页链接,,,,,42,38,40,2017-08-11 11:30,360安全浏览器,['http://ww2.sinaimg.cn/large/006HctUGgy1fifmk25kdfj30jp0er0v6.jpg'],,
4007253339994153,E32GVFVW1,5506047282,呼和浩特金桥开发区,中环股份助力光伏扶贫，在发展中践行社会责任O网页链接,,,,,0,0,0,2016-08-11 11:45,微博 weibo.com,,,
