id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4263787701799070,GqLpo7y1g,3858780599,妖股_传说,"7月20日信息早餐：新闻快报：外交部：中方为避免贸易摩擦升级尽了最大努力。央行:外汇占款连续六个月上升。深交所:中小创公司分红热情高，2017年分红公司占比达八成。云南普洱:发布楼市新政，非本市户籍限购1套，满两年方可交易。中消协:公开征集有关“法国队夺冠,华帝退全款”活动引发的投诉。超级高铁:美国超级高铁公司（HTT）“真空管道超级高铁研发产业园项目”落户贵州.知乎：完成新一轮近3亿美元融资。长生生物:狂犬病疫苗生产记录造假,被吉林食药监局罚没344万元.洽洽食品：瓜子涨价提价幅度为6％-14.5％不等.盘江股份：贵州省拟组建盘江煤电集团,公司实控人将更名.比亚迪：子公司中标逾55亿元纯电动客车项目.天银机电：拟收购成都益为创65％股权,转让方将增持.粤水电：联合中标7.77亿元EPC项目.中国联通：6月份4G用户净增277.5万户.华力创通：北斗车载定位终端已应用于约1万台公务车.豫园股份：控股股东拟增持不超2％股份.鸿利智汇：金舵投资受让6％股份成为第一大股东,拟继续增持.世名科技：股东红塔创新拟减持不超1.636％股份.柏堡龙：两家定增股东拟减持不超6％股份.健友股份：股东拟减持不超5.8324％股份.永东股份：股东东方富海拟减持不超2％股份.世名科技：股东红塔创新拟减持不超1.636％股份.万科A：钜盛华已合计减持5%公司股份，不排除未来12个月内继续减持。海航控股：拟104.78亿元收购多家公司股权，股票复牌。永泰集团：获五家银行百亿授信，违约债券暂未与投资人达成一致。投资内参：1.超级高铁：据报道，7月19日，铜仁市与美国超级高铁公司（HTT）举行“真空管道超级高铁研发产业园项目”签约仪式，标志着超级高铁项目落户贵州铜仁迈出了坚实的一步。据了解，这是美国超级高铁公司与中国签署的第一份超级高铁建设协议。根据协议，铜仁市政府与HTT公司将分别以1:1的出资比例在铜仁市成立合资公司，共建“真空管道超级高铁研发产业园”项目。据悉，双方将在铜仁市建一条10公里长的超级高铁线路。关注：银轮股份（002126）、中科三环（000970）、亚夏汽车（002607） 2.毫米波雷达：据最新报告指出，车载毫米波雷达受中国新版新车评价指标(C-NCAP)的实行，以及美国NHTSA将自动紧急煞车系统列为新车标配的双重驱动下，将进入高速成长阶段，预计2018年车载毫米波雷达出货量将达6,500万颗，2023年车载毫米波雷达年出货量将达1亿3200万颗。关注：雷科防务（002413）、索菱股份（002766） 3.水泥涨价：据中国数字水泥网19日报道，海螺针对江浙沪沿江地区熟料价格上调10元/吨，装船420元。市场之前计划7月底提价，因供应紧张提前上涨，水泥市场淡季不淡。上半年全国累计水泥产量9.97亿吨，同比下降0.6%，南方需求整体依旧显著好于北方，因精准扶贫政策拉动了很多地方的水泥需求。另外，行业错峰力度的进一步强化，三季度水泥市场将淡季不淡。关注：华新水泥（600801）、万年青（000789）今日看盘上证指数sh000001创业板指sz399006",,,,,0,1,6,2018-07-20 09:21,搜狗高速浏览器,,,
4166306582937110,FrOW6ck4K,2474040954,申睿-道之若水,"最新上市公司组合消息2017年10月24日重组消息　　600468　百利电气　关于控股股东筹划重大事项继续停牌提示性公告,继续停牌　　600074　保千里　　关于终止重大资产重组的公告,继续停牌　　000757　浩物股份　关于筹划重大事项的停牌公告,今起停牌　　000504　南华生物　第九届董事会第三十四次临时会议决议公告,继续停牌　　002806　华锋股份　2017年第三季度报告全文,继续停牌　　002669　康达新材　2017年第三季度报告正文,继续停牌　　002382　蓝帆医疗　2017年第三次临时股东大会决议公告,继续停牌　　002382　蓝帆医疗　关于公司重大资产重组停牌期满继续停牌的公告,继续停牌　　002902　铭普光磁　2017年第三季度报告全文,今日复牌　　002756　永兴特钢　关于公司财务负责人与审计部负责人任免的公告,继续停牌　　300431　暴风集团　关于重大资产重组停牌进展公告,继续停牌　　300523　辰安科技　关于使用部分闲置募集资金进行现金管理的进展公告,继续停牌　　300145　中金环境　公布2017年第三季报,继续停牌　　300300　汉鼎宇佑　关于筹划重大事项的进展公告,继续停牌　　300091　金通灵　　关于重大资产重组停牌进展的公告,继续停牌　　300152　科融环境　关于重大资产重组停牌期满继续停牌的公告,继续停牌　　300104　乐视网　　重大资产重组停牌期间进展公告,继续停牌　　300456　耐威科技　关于完成工商变更登记的公告,继续停牌　　300156　神雾环保　关于重大资产重组的进展公告,继续停牌　　300392　腾信股份　关于控股股东部分股份被冻结的公告,继续停牌　　300140　中环装备　关于重大资产重组的进展公告,继续停牌　　300145　中金环境　2017年第三季度报告披露提示性公告,继续停牌　　　　　　　　今日上市公司利好消息中国电建子公司签署132亿元重大工程合同龙元建设预中标投资额9.18亿元PPP项目中装建设联合预中标14.76亿元建设PPP项目粤水电联合中标6.22亿河道治理PPP项目津膜科技联合中标宁乡污水处理及回用工程PPP项目东土科技实控人拟不低于1亿元增持奥马电器获控股股东增持1%股份科新机电签两份供货合同金额累计9130万元中国武夷承接乌干达公路施工项目九洲电气签署50兆瓦光伏扶贫项目同方股份拟12亿元增资同方威视赢合科技前三季受益锂电池业务净利增长51%获易方达基金重仓通策医疗前三季净利同比增约45%社保基金增持100万股亨通光电光通信产品量价齐升前三季净利预增50%-80%*ST华菱前三季大幅扭亏为盈金卡智能前三季度净利同比增216%神火股份前三季扣非净利增逾五倍中核钛白前三季度净利增长558%全年净利预增340%-388%控互动前三季度净利同比增逾60%中金公司新进前十大股东中科曙光前三季营收增43%平安财险及平安寿险新进前十大股东今日上市公司利空消息石大胜华股东拟减持不超405万股保千里因实控人股票被司法冻结终止重大资产重组天海防务沃金石油减持2.53%股份完成减持计划晶方科技股东OV-HK拟未来一年内清仓减持健盛集团两位董事拟减持合计约为1%公司股份南京熊猫中国华融拟减持不超1.99%股份能科股份两股东拟合计减持不超11.28%股份万通地产前三季净利同比下降约47%江山股份终止重大资产重组事项今日A股股份流通提示(2017.10.24)N财通(601108)　　32246.73万股首发一般股份上市　　占流通盘比89.82%乐金健康(300247)3321.65万股增发A股法人配售上市　占流通盘比6.2942%立讯精密(002475)35114.50万股增发A股法人配售上市占流通盘比11.1054%力星股份(300421)1855.47万股增发A股法人配售上市　占流通盘比30.6412%昆仑万维(300418)678.15万股股权激励限售流通上市　占流通盘比1.5027%",,,,,0,0,1,2017-10-24 09:25,360安全浏览器,,,
4166149732126022,FrKR78V4G,5888642098,一人一股,【今日晚间上市公司公布关于项目中标消息一览】1.中国电建：子公司签署132亿元重大工程合同。2.龙元建设：预中标投资额9.18亿元PPP项目。3.中装建设：联合预中标14.76亿元建设PPP项目。4.粤水电：联合中标6.22亿河道治理PPP项目。5.九洲电气：签署50兆瓦光伏扶贫项目。6.津膜科技：联合中标宁乡污水处理及回用工程PPP项目。7.中国武夷：承接乌干达公路施工项目。8.科新机电：签两份供货合同金额累计9130万元。9.美尚生态：联合预中标12.44亿元市政项目。10.祥龙电业：与武汉天马签订重大供用水合同。,,,,,0,0,1,2017-10-23 23:02,微博 weibo.com,,,
4166123400245007,FrKaE11JJ,1738092885,55168论坛-上市公司调研网,10月23日晚间重要公告集锦10-2321:12上海物贸股价异动无应披露而未披露事项10-2321:04江山股份终止重大资产重组事项10-2320:51迪马股份停牌控股股东筹划重大事项10-2320:47新奥股份前三季预增97%10-2320:39通策医疗前三季增逾四成社保基金增持10-2320:32亨通光电前三季预增50%-80%10-2320:29金莱特实控人协议转让部分股份公司控制权拟变更10-2320:27能科股份两股东拟合计减持不超11.28%股份10-2320:20ST山水由无实控人变更为实控人吴太交10-2320:03石大胜华股东拟减持不超405万股10-2319:56中国电建签署20亿美元海外工程合同10-2319:50博威合金前三季净利增长78%10-2319:46光线传媒前三季度净利增8%社保两组合新晋股东名单10-2319:44保千里终止重大资产重组事项10-2319:37杉杉股份前三季预增50%-60%10-2319:29长江投资股价异动无应披露而未披露事项10-2319:23方大特钢前三季净利增长233%10-2319:15*ST华菱前三季大幅扭亏为盈10-2319:12理工环科前三季度净利润同比增长141%10-2319:06丰乐种业拟挂牌出售徽商银行内资股份10-2318:58金卡智能前三季度净利润同比增长216%10-2318:56平潭发展拟现金收购中核系五家新能源公司10-2318:47粤水电联合中标6.22亿元PPP项目10-2318:37天马精化停牌筹划资产收购事项10-2318:25浩物股份停牌控股股东筹划重大事项10-2318:19天健集团前三季业绩增长146%10-2318:14新华都：存在需核实的重大事项停牌并延期披露三季报10-2318:08智慧农业停牌控股股东筹划重大事项10-2318:03四川美丰前三季净利增长230%10-2317:55欧菲光前三季度净利润同比增长80%10-2317:55神火股份前三季扣非净利增逾五倍10-2317:46泰禾集团受让翔峰置业与中加置业100%股权10-2317:44中核钛白前三季度净利润同比增长558%10-2317:31扬农化工前三季业绩增近四成10-2317:19铭普光磁完成停牌自查24日起复牌10-2317:19音飞储存股东、高管拟减持10-2317:08龙蟒佰利前三季度净利润同比增长15倍10-2317:04艾迪精密前三季业绩增近八成10-2316:57惠发股份前三季业绩增逾两倍10-2316:53东土科技实控人拟增持不低于1亿元10-2316:52晶方科技股东OV-HK拟清仓减持10-2316:45中科曙光前三季业绩微增平安险资入股10-2316:29奥马电器获控股股东增持1%股份10-2316:29南京熊猫股东中国华融拟减持不超1818万股10-2316:22生物股份一高管拟减持不超35万股10-2316:16健盛集团董事高管拟减持不超380万股10-2316:14水晶光电2017年度业绩预增40%-60%10-2316:06山西焦化前三季扭亏为盈10-2315:56宇通客车前三季下降16%证金有所减持10-2315:46八一钢铁前三季扭亏为盈10-2312:27盛讯达发起互联网小额贷款公司10-2312:22银泰资源拟5.3亿收购上海盛蔚10.4%股权10-2312:15中国武夷承接乌干达公路施工项目10-2312:01九洲电气签署50兆瓦光伏扶贫项目,,,,,5,0,1,2017-10-23 21:18,微博 weibo.com,,,
4166021508700885,FrHwiAvuR,6066340031,北京中能联合工程技术有限公司,光伏发电专题项目：项目编号	项目名称	地区	行业	金额	阶段HD170613120	陕西盛昱能源科技有限公司合阳县20MW光伏发电项目(版本2)	陕西	新能源产业项目	3亿元	立项申报XN041780871	苏州协鑫新能源投资有限公司建设阜宁高起点建设100MW农光互补全国光伏领跑者示范项目(版本4)	江苏	新能源产业项目	10亿元	立项申报ZN030060770	华电福新能源股份有限公司广西分公司南宁市良庆区光伏电站项目(版本6)	广西	新能源产业项目	2亿元	立项申报ZN030080770	华电福新能源股份有限公司广西分公司宾阳县马潭农场光伏发电项目(版本6)	广西	新能源产业项目	3亿元	立项申报HD161164450	中南粤水电投资有限公司淮南市毛集实验区2×20MW光伏发电项目(版本3)	安徽	新能源产业项目	3亿元	立项申报ZN158710371	江苏迪盛四联新能源投资有限公司新安县150兆瓦光伏发电项目(版本4)	河南	新能源产业项目	15亿元	立项申报HD170580884	明溪县农业局明溪县分布式光伏发电项目(版本2)	福建	新能源产业项目	3748万元	工程设计HB171073186	山阴县日昌新能源科技有限公司2兆瓦屋顶分布式光伏发电项目（老羊寨村）	山西	新能源产业项目	1600万元	手续审批HD171022365	山阴县日昌新能源科技有限公司3兆瓦屋顶分布式光伏发电项目（后所乡南万庄村）	山西	新能源产业项目	2400万元	手续审批HB161157555	霸州市三正新能源科技有限公司12MWp分布式光伏发电项目(版本3)	河北	新能源产业项目	8400万元	立项申报HB171032480	四川省遂宁市射洪县射洪县金华镇人民政府金华镇伯玉村光伏扶贫发电项目	四川	新能源产业项目	30万元	工程设计XB171008997	合水县项目工作办公室合水县户用分布式光伏扶贫系统建设项目	甘肃	新能源产业项目	240万元	工程设计DB171098994	凌源市刀尔登镇人民政府凌源市刀尔登镇90KW光伏扶贫电站工程	辽宁	新能源产业项目	65万元	工程设计XB037410029	湖南湘晖新能源投资有限公司陕西省三原县大程镇光伏发电项目(版本5)	陕西	新能源产业项目	4亿元	立项申报HB171044605	宜昌市夷陵区三斗坪镇中堡村村民委员会三斗坪镇中堡村100KWP分布式发电项目	湖北	新能源产业项目	148万元	工程设计HB171033674	延津县石婆固镇人民政府胡村村集体经济农光互补电站项目	河南	新能源产业项目	150万元	工程设计HD171071065	日照市东港区南湖镇光伏发电扶贫项目	山东	新能源产业项目	140万元	工程设计DB171001933	单县龙王庙镇人民政府2017年扶贫资金项目（闫堂等三个村光伏发电设备）	山东	新能源产业项目	100万元	工程设计HB171065696	涟源市发展和改革局涟源市古塘乡和伏口镇易地扶贫搬迁集中安置区屋顶光伏扶贫项目	湖南	新能源产业项目	622万元	工程设计HB170191673	富裕县阳光惠农光伏发电有限公司黑龙江富裕县村级光伏扶贫项目（第三批）	黑龙江	新能源产业项目	5268万元	土建施工您还有300条目录未查看…………	查询更多工程项目，请您登陆官网中能联合工程项目查询网O网页链接-------------------------中能联合是一家专业提供工程项目信息咨询的公司，在业内赢得了良好声誉，与国内各地发改委和设计院、采购单位建立了广泛长期的友好合作。将全国工程项目信息进行收集整理，为客户提供全面的工程项目咨询服务。了解更多信息，请关注中能联合微信公众账号，服务号：CCEUP-GFWX订阅号：ZNLH-CCEUP----------------------------中能联合联合天下轻松下载中能联合APP随时随地了解项目信息，更全面、更快捷、更及时的为客户提供一站式解决方案,,,,,0,0,0,2017-10-23 14:33,搜狗高速浏览器,"['http://ww4.sinaimg.cn/large/006CxKa3ly1fks61ff0qgj30ho0wktb4.jpg', 'http://ww4.sinaimg.cn/large/006CxKa3ly1fks62ch87gj31bl1ww4nn.jpg', 'http://ww3.sinaimg.cn/large/006CxKa3ly1fks62lk886j319y1wwkcu.jpg']",,
4166021109405072,FrHvEDsGI,6066340031,北京中能联合工程技术有限公司,最近的光伏发电专题项目：项目编号	项目名称	地区	行业	金额	阶段HD170613120	陕西盛昱能源科技有限公司合阳县20MW光伏发电项目(版本2)	陕西	新能源产业项目	3亿元	立项申报XN041780871	苏州协鑫新能源投资有限公司建设阜宁高起点建设100MW农光互补全国光伏领跑者示范项目(版本4)	江苏	新能源产业项目	10亿元	立项申报ZN030060770	华电福新能源股份有限公司广西分公司南宁市良庆区光伏电站项目(版本6)	广西	新能源产业项目	2亿元	立项申报ZN030080770	华电福新能源股份有限公司广西分公司宾阳县马潭农场光伏发电项目(版本6)	广西	新能源产业项目	3亿元	立项申报HD161164450	中南粤水电投资有限公司淮南市毛集实验区2×20MW光伏发电项目(版本3)	安徽	新能源产业项目	3亿元	立项申报ZN158710371	江苏迪盛四联新能源投资有限公司新安县150兆瓦光伏发电项目(版本4)	河南	新能源产业项目	15亿元	立项申报HD170580884	明溪县农业局明溪县分布式光伏发电项目(版本2)	福建	新能源产业项目	3748万元	工程设计HB171073186	山阴县日昌新能源科技有限公司2兆瓦屋顶分布式光伏发电项目（老羊寨村）	山西	新能源产业项目	1600万元	手续审批HD171022365	山阴县日昌新能源科技有限公司3兆瓦屋顶分布式光伏发电项目（后所乡南万庄村）	山西	新能源产业项目	2400万元	手续审批HB161157555	霸州市三正新能源科技有限公司12MWp分布式光伏发电项目(版本3)	河北	新能源产业项目	8400万元	立项申报HB171032480	四川省遂宁市射洪县射洪县金华镇人民政府金华镇伯玉村光伏扶贫发电项目	四川	新能源产业项目	30万元	工程设计XB171008997	合水县项目工作办公室合水县户用分布式光伏扶贫系统建设项目	甘肃	新能源产业项目	240万元	工程设计DB171098994	凌源市刀尔登镇人民政府凌源市刀尔登镇90KW光伏扶贫电站工程	辽宁	新能源产业项目	65万元	工程设计XB037410029	湖南湘晖新能源投资有限公司陕西省三原县大程镇光伏发电项目(版本5)	陕西	新能源产业项目	4亿元	立项申报HB171044605	宜昌市夷陵区三斗坪镇中堡村村民委员会三斗坪镇中堡村100KWP分布式发电项目	湖北	新能源产业项目	148万元	工程设计HB171033674	延津县石婆固镇人民政府胡村村集体经济农光互补电站项目	河南	新能源产业项目	150万元	工程设计HD171071065	日照市东港区南湖镇光伏发电扶贫项目	山东	新能源产业项目	140万元	工程设计DB171001933	单县龙王庙镇人民政府2017年扶贫资金项目（闫堂等三个村光伏发电设备）	山东	新能源产业项目	100万元	工程设计HB171065696	涟源市发展和改革局涟源市古塘乡和伏口镇易地扶贫搬迁集中安置区屋顶光伏扶贫项目	湖南	新能源产业项目	622万元	工程设计HB170191673	富裕县阳光惠农光伏发电有限公司黑龙江富裕县村级光伏扶贫项目（第三批）	黑龙江	新能源产业项目	5268万元	土建施工您还有300条目录未查看…………	查询更多工程项目，请您登陆官网中能联合工程项目查询网O网页链接-------------------------中能联合是一家专业提供工程项目信息咨询的公司，在业内赢得了良好声誉，与国内各地发改委和设计院、采购单位建立了广泛长期的友好合作。将全国工程项目信息进行收集整理，为客户提供全面的工程项目咨询服务。了解更多信息，请关注中能联合微信公众账号，服务号：CCEUP-GFWX订阅号：ZNLH-CCEUP----------------------------中能联合联合天下轻松下载中能联合APP随时随地了解项目信息，更全面、更快捷、更及时的为客户提供一站式解决方案,,,,,0,0,0,2017-10-23 14:31,搜狗高速浏览器,['http://ww4.sinaimg.cn/large/006CxKa3ly1fks60npqcrj316n1wwdyy.jpg'],,
4149010636203015,FkyZpq1GD,5176230254,酒泉日报,"#在这里看懂酒泉#【金塔县精雕细琢打造“后花园”】壮大县域经济,项目建设是重要引擎。金塔县提出“打造戈壁明珠城,建设酒嘉后花园”的思路,在产业转型升级上提速增量、提质增效,建立完善产业体系,在县域经济发展上谋求新的突破。“我们紧紧扭住项目建设不放松,加快固定资产投资,切实把项目建设作为稳增长的‘牛鼻子’和‘压舱石’。”金塔县委书记方学贵说。金塔县按照“意向项目抓签约、签约项目抓落地、落地项目抓开工”的要求,修订完善招商引资优惠办法,定期更新招商目录,采取小分队招商、以商招商、驻点招商等多种方式,持续加大对体量大、环保性和成长性强的项目招引力度,取得了良好成效。今年以来,金塔县先后组织外出招商15批次,举办项目推介会、座谈会12场次,新签约对接装备制造、石材开发、商贸物流等项目26个,签约金额45.5亿元。筑牢“亲”“清”政商关系,优化项目投资环境,强化全程跟踪服务,着力破解落地难题,开工建设招商引资项目50项,引进到位资金27亿元,同比增长10%。同时,项目谋划争取成效明显,经过充分挖掘县域资源优势和投资潜力,统筹各类投资决策要素,持续加大项目策划包装和申报争取力度,谋划争取国、省投项目32项,到位国、省投项目资金2.3亿元；认真遴选PPP项目,总干渠风情线改造项目规划编制、前期对接工作取得实质性进展；论证储备招商引资项目186个,将总投资65.3亿元的24个重点推进PPP项目纳入项目储备库实行动态管理,为进一步做足项目数量、做优项目质量奠定了坚实基础。金塔县在现代农业发展上,坚持“高新技术应用、提升设施档次、高效规模生产、经营机制合理、品牌带动销售”的理念,立足绿洲农业独特的光、热资源和区位优势,深化农业供给侧结构性改革,突出发展戈壁农业。目前,共建成农业示范园区58个,其中省级园区1个、市级园区14个。金塔县立足农业供给侧结构性改革,持续推进农业结构调整,主攻高效瓜菜、特色林果、草畜产业、现代制种、特色中药材五大产业,落实“万元田”11.6万亩、“五千元田”15.2万亩,新建百亩设施农业示范区16个、千亩特色林果示范村14个、标准化设施养殖场20个,现代农业发展步伐加快；发挥退耕还林、产业扶持、贴息贷款等政策资金撬动作用,全县新增特色林果4万亩,达到12万亩,为建设林果大县夯实了基础。同时,在推进农村一、二、三产融合发展上,建成了金色田园休闲观光及设施农业示范园等各类休闲农业与乡村旅游点52个,带动发展休闲观光产业10万亩。精准扶贫方面,今年金塔县紧盯865户、2832名未脱贫对象集中攻坚,坚持“输血”和“造血”并举,走好“种植、养殖劳务”的路子,帮扶农资3.9吨,投放林果苗木7万多株,开工铺筑乡村沥青公路109公里,整修渠道86.5公里。对低保进行了扩面提标,发放各类惠民救助帮扶资金400多万元,贫困群众的生产生活条件持续改善。今年,金塔县计划实施重点工业项目66项,目前已开工建设53项,累计完成投资20.66亿元。新能源产业坚持规划编制、电站建设、电网配套同步推进,积极开展白水泉、营盘大墩风光电新能源基地规划报批,新开工建设粤水电80兆瓦、华航30兆瓦等8个共260兆瓦光伏发电项目,累计并网发电135兆瓦。红柳洼110千伏1号、2号、3号汇集站及电网输出线路建成投用,330千伏输变电工程即将投用。投资28亿元列入全国首批光热示范项目的三峡新能源10万千瓦熔盐塔式光热发电项目前期工作顺利推进,新能源产业拉动投资提速的作用显著增强。资源开发上,不断培育壮大县域优势产业发展规模,鼓励支持企业开展技术创新,西域阳光3000吨甜叶菊生产、亚泰金属6线竖井建设、宏运矿产整合技术改造等14个重点新续扩改项目全面复工复产,规模以上工业增加值达2.8亿元。金塔工业集中区纳入全省基础培育型开发区范畴,金鑫工业园区污水处理厂、拓展南区道路建设、绿化美化工程已完工,北河湾循环经济产业园污水处理厂即将启动建设,工业园区平台支撑能力不断增强。业态融合,优势凸显。金塔县三产发展活力不断增强。大景区建设方面,将实施文化旅游项目21项,完成投资2.78亿元,开工建设重点项目17个,其中总投资2.2亿元的沙漠胡杨林景区扩容提质工程已完成投资6200万元,民俗风情街、景区入口改造提升、花卉观光园、环湖栈道等15项景观景点工程9月份可全面建成,金沙嘉年华沙地娱乐、沙漠露营地等项目顺利推进。立足资源特色优势,“胡杨”和“航天”品牌影响力不断扩大,至目前,全县接待旅游人数117.8万人次,实现旅游综合收入9.69亿元。与此同时,金塔县商贸流通和现代服务业深入实施“互联网”行动,引导培育本地特色产品开展网络营销,建成县乡村电商平台57个,金融保险、物流快递、家政服务等新型服务业态竞相发展,实现第三产业增加值12.7亿元。（本报记者　陈思侠）",,,,在这里看懂酒泉,1,0,1,2017-09-06 15:58,微博 weibo.com,,,
4023513394519488,E9RGPiXIY,5524453825,信阳乐丰光伏科技有限公司,粤水电拟40亿元投资光伏扶贫发电项目9月23日晚间公告称，近日，公司的全资子公司东南粤水电投资有限公司和广州守仁电力有限公司与广东省湛江市遂溪县人民政府签署《光伏扶贫开发合作协议》。遂溪县人民政府同意东南投资公司在遂溪县分期分区域建设光伏扶贫发电项目，总规模500MW，根据目前的市场价格，预计总投资约40亿元。　　公司表示，本次对外投资的目的是为了加大公司清洁能源发电业务的投资开发力度，充实和丰富公司清洁能源发电业务，提高盈利水平。该光伏发电项目建成投产后，将扩大公司和东南投资公司清洁能源发电业务规模，对公司和东南投资公司未来的经营业绩有一定的提升作用。　　国泰君安指出，公司水利水电、地铁盾构等施工技术先进，紧抓“一带一路”战略、PPP落地大年机遇，工程施工等业务将加速发展；同时，公司清洁能源布局提速，积极寻找水电、风电和太阳能、生物质能发电等优质资源，已投产发电的清洁能源项目总装机56万千瓦，未来市场前景广阔；另外，公司深耕华南轨交市场，受益于广州市截至2030年底将新建15条地铁线路的发展规划，轨交业务有望高增长。作为广东省水电集团下唯一上市公司，公司将协同集团旗下优质资源，得益国改政策红利，同时全资子公司混合所有制改革稳步推进，未来发展前景已打开。,,,,,0,0,0,2016-09-25 08:36,360安全浏览器,,,
4022958601477916,E9Dg06ctm,5303730991,刘新看市,"粤水电(002060)日晚间公告,全资子公司东南投资联合守仁电力,与广东省湛江市遂溪县人民政府签署协议,拟在当地分期分区域建设光伏扶贫发电项目,总规模500MW,预计总投资约40亿元,款项由东南投资负责募集。此前,公司已建成投产的光伏发电项目总装机约10.5万千瓦,新并网尚未投产光伏发电项目总装机9.5万千瓦。",,,,,0,0,0,2016-09-23 19:52,360安全浏览器,,,
4022956458042433,E9DcxxKcF,5051077448,快兰斯24小时财经直播,"实时播报：【粤水电：拟投资40亿建设光伏扶贫项目】粤水电日晚间公告,全资子公司东南投资联合守仁电力,与广东省湛江市遂溪县人民政府签署协议,拟在当地分期分区域建设光伏扶贫发电项目,总规模500MW,预计总投资约40亿元,款项由东南投资负责募集。此前,公司已建成投产的光伏发电项目总装机约10.5万千瓦,新并网尚未投产光伏发电项目总装机9.5万千瓦。",,,,,3,0,1,2016-09-23 19:43,微博Win8客户端,,,
4022950095172857,E9D2hlHHb,2314621873,博涵强,"@股市博涵：【粤水电：拟投资40亿建设光伏扶贫项目】粤水电(002060)9月23日晚间公告,全资子公司东南投资联合守仁电力,与广东省湛江市遂溪县人民政府签署协议,拟在当地分期分区域建设光伏扶贫发电项目,总规模500MW,预计总投资约40亿元,款项由东南投资负责募集。此前,公司已建成投产的光伏发电项目总装机约10.5万千瓦,新并网尚未投产光伏发电项目总装机9.5万千瓦。",,,股市博涵,,0,0,0,2016-09-23 19:18,三星android智能手机,,,
